Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Campy Russell,26,SF,2,88,20.7,.570,.538,8.6,11.3,9.9,18.7,1.6,0.6,17.2,25.4,0.2,-0.1,0.2,.097,1.0,0.4,1.4,0.1,
2,Jim Chones,28,C,2,82,12.7,.491,.296,3.9,18.2,10.6,11.7,1.1,0.6,11.6,16.2,0.1,0.0,0.0,.014,-2.6,0.8,-1.9,0.0,
3,Foots Walker,26,PG,2,70,11.9,.443,.192,7.7,3.6,5.8,19.2,2.0,1.5,17.5,18.8,0.0,-0.1,0.0,-0.027,-3.0,0.4,-2.6,0.0,
4,Austin Carr,29,SG,2,69,15.2,.514,.593,4.7,9.0,6.7,9.8,1.3,0.8,10.5,21.2,0.2,-0.1,0.1,.069,-2.8,0.4,-2.4,0.0,
5,Elmore Smith,28,C,2,56,14.5,.469,.250,11.6,28.9,19.6,0.0,2.5,2.8,15.8,21.7,0.0,0.0,0.0,-0.005,-5.3,0.4,-5.0,0.0,
6,Terry Furlow,23,SG,2,50,19.8,.540,.222,6.5,5.0,5.8,16.0,0.0,0.0,9.2,25.1,0.2,-0.1,0.1,.088,2.1,-1.8,0.3,0.0,
7,Bingo Smith,31,SG,2,34,15.3,.615,.000,6.3,3.7,5.1,4.5,0.0,0.0,7.1,15.8,0.1,0.0,0.1,.071,-0.1,-1.3,-1.4,0.0,
8,John Lambert,25,PF,2,19,8.1,.387,.667,11.4,39.4,24.4,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,.022,-4.7,-1.8,-6.5,0.0,
9,Jim Brewer,26,PF,1,9,-10.5,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-0.1,-0.279,-14.0,-3.5,-17.5,0.0,
10,Dick Snyder,33,SG,1,3,-15.5,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.8,0.0,0.0,0.0,-0.513,-16.3,-6.0,-22.3,0.0,
